id,first_name,last_name,phone,preferred_job,availability,location,experience_years,last_contact,text_opt_in,application_status
38627bb3-bc80-47a3-bc2e-8ef1a44b2e47,Latoya,Berger,001-638-901-3952,Restaurant,Flexible,Hendersonport,1,2025-01-20,False,New
d68c044a-1fe5-414c-a772-f6e850fb4fb3,Andrew,Fisher,(935)348-9001x244,Hospitality,Night,East Kerri,0,2025-01-19,True,Contacted
66c7bc2c-471f-4eb5-a40c-cd9a3a5dac3c,Alexandra,Bryan,+1-569-254-4666x834,Restaurant,Night,Port Caroline,4,2025-01-17,True,Contacted
96eaa122-294e-43d2-8e47-beea3c0fa322,Mary,Smith,500.473.0603x3223,Restaurant,Evening,Lake Lauraburgh,2,2025-01-14,False,Interview
644916fc-3705-4126-a28d-cc7bf0000950,Dawn,Zimmerman,+1-808-486-6617x40636,Warehouse,Evening,Cynthiabury,0,2025-01-21,True,New
32905f40-355b-427d-b3fb-2f4de3ba0a34,Marcus,Reeves,(749)726-5465,Warehouse,Evening,Riverachester,3,2025-01-28,True,New
baf964ed-eea7-4cb1-aecc-700e7292c5d8,Ryan,Sherman,462.393.0323x060,Warehouse,Flexible,East Heather,5,2025-01-02,False,Hired
58a6c422-54d2-419b-b71c-7fecf0d0e095,Maria,Morrison,+1-857-650-9328x53333,Retail,Morning,North Patrickstad,5,2025-01-09,True,Interview
a683debe-493e-4bee-a137-068ef326b2e1,Patricia,Montoya,250-236-3337,Restaurant,Night,Port Tracymouth,4,2025-01-12,True,Contacted
db57283b-a1ca-4786-a814-e1dcd3971d15,John,Joyce,001-593-572-7876x628,Restaurant,Weekends,Susanland,2,2025-01-04,False,Contacted
5fcb06c7-ab52-4f7c-9c5e-7d9febedbe08,Amy,Stone,+1-366-566-0137x118,Hospitality,Evening,Griffithchester,4,2025-01-29,True,Hired
be3f03d9-60c0-435c-8487-0d8495f91e10,Melinda,White,(662)214-5959x693,Retail,Evening,Olsenville,4,2025-01-10,True,Interview
fe91fd1e-fe76-4469-9ba8-f22928209dd9,James,Butler,327.877.0385,Restaurant,Weekends,Andradeborough,3,2025-01-10,False,New
99d2b0df-fdfd-4cf1-a2ff-c192766967ae,Jose,Rodriguez,+1-796-464-6370x3990,Healthcare,Night,Seanchester,2,2025-01-09,False,New
f52a003c-7201-476d-ade0-1d5e695cf271,Kevin,Dunn,7388966223,Restaurant,Flexible,Nancybury,0,2025-01-20,True,Contacted
5684f8d4-974d-4918-a560-e6b25a017209,Rebekah,Fischer,(745)702-7459x5189,Warehouse,Night,East Nicole,4,2025-01-01,True,New
fd0b46ad-7090-4414-84f9-73b540a6b8e1,Sheila,Mosley,+1-992-742-1924,Hospitality,Morning,Brookeside,5,2025-01-20,True,Contacted
91620789-fc6b-405d-a1d1-5ec3c3142bff,Rose,Atkinson,+1-923-236-7844x0714,Warehouse,Morning,West Brian,3,2025-01-19,False,New
a017cd1f-b6c9-447f-a870-d6bf2ab9bba8,Derek,Oneill,502.229.7558x8350,Retail,Evening,Christopherchester,1,2025-01-24,True,Interview
acdc60e7-0415-4c2d-98c5-cc5370ff8a52,Lawrence,Clark,+1-846-813-9753x0415,Warehouse,Night,East Kelseyberg,4,2025-01-05,False,Contacted
b5daab5a-4045-4ee7-8cca-f7a012cbf2b6,Kenneth,Wise,001-716-762-8539x9729,Hospitality,Weekends,Jeantown,1,2025-01-12,True,New
89abf8c9-cf44-4e50-b108-8e6c3030f080,Mario,Cummings,+1-859-798-2725x6372,Healthcare,Weekends,Port Edward,1,2025-01-16,True,Contacted
0918c892-5fb4-4c01-8b46-03f332e5c4ae,Julie,Patterson,001-854-813-2048x3663,Retail,Night,West Susanburgh,0,2025-01-26,True,New
2296ee39-a994-4d94-a7e2-212fc56ba655,Brian,Dunn,454-668-8653x27911,Healthcare,Morning,South Mitchellbury,4,2025-01-08,False,Contacted
887896fa-9fc7-4762-a7a2-3dc2893262bd,Lisa,Garcia,+1-459-474-2464,Warehouse,Weekends,New Sarahburgh,2,2025-01-06,True,Contacted
4f141cb3-f371-4f1e-be86-18cc15a7a328,Sheila,Shelton,969.453.0982,Restaurant,Flexible,Ballardshire,2,2025-01-25,False,Interview
f06271a6-4be9-4381-b247-643077dbeb63,Jeffrey,Walker,531.359.1185,Hospitality,Evening,Port Bethfort,2,2025-01-25,True,Contacted
d45f0fe5-131f-45d7-aab4-7fe26cc708dc,Paula,Decker,658.595.7951x2810,Healthcare,Evening,Kimberg,0,2025-01-10,False,Hired
75c3ec04-1260-4b64-87df-b43068fdba26,Melissa,Miller,370.776.8170,Healthcare,Morning,Jensenfurt,5,2025-01-27,True,Hired
5a6c68a8-a44e-44bf-a29b-b774ac4616a8,Justin,Davis,(794)994-4139x51111,Restaurant,Weekends,Tylerfurt,5,2025-01-10,False,Hired
375d11e7-08a9-48c6-8fd2-5c9e726759a2,John,Mcmahon,+1-306-560-9860x5799,Retail,Night,Amyview,0,2025-01-20,False,Interview
186d3cc0-27ed-46c1-81e8-fffc61ef3de2,Emily,Yang,(821)751-0033x1959,Restaurant,Evening,Port Henry,2,2025-01-05,True,Interview
d4a8ecb2-7178-4032-9612-d52888037594,Peter,Spence,359-328-5389,Retail,Flexible,Johnhaven,5,2025-01-16,False,New
7bd827bc-76f3-49a4-9249-4be6cad4b674,Jeffery,Gonzalez,(225)962-7225,Healthcare,Weekends,Sharonberg,2,2025-01-28,True,New
ca3b76ac-38cc-40c5-b88c-cd26f5edabee,Stuart,Shepherd,(873)452-6328x2800,Restaurant,Weekends,Dayland,5,2025-01-21,True,Contacted
23e48bee-5678-4afd-8e88-ddcaa79a8749,Justin,Thompson,213.577.0929,Restaurant,Morning,East Andreashire,0,2025-01-11,False,New
f752d5b1-da65-4497-b8d0-5726864a589c,Cassandra,Villanueva,3364504699,Warehouse,Evening,West Kathleen,0,2025-01-16,True,New
6c6a665f-6ee8-42cb-9958-783f7d7ac0a7,Brittney,Pierce,(376)215-0476,Healthcare,Weekends,Peterland,0,2025-01-25,False,Contacted
a0126689-9e89-49b7-8618-1ee47dd9c379,Monica,Gutierrez,379-771-3414,Restaurant,Flexible,East Ashley,4,2025-01-14,True,Hired
6e6858c9-b363-4633-98eb-2fbab4879c08,Diane,Allen,222.277.9342x687,Retail,Evening,Lake Frederick,2,2025-01-06,True,Hired
3727e118-5a1e-4ddd-aa4f-7bae9c85255a,Matthew,Haynes,001-253-320-0063x2375,Healthcare,Evening,South Karenhaven,4,2025-01-29,False,New
413f985d-b9ac-4d3c-ae77-3af2d565bc54,Amanda,Wall,(326)685-7519,Hospitality,Evening,Deckermouth,4,2025-01-02,False,Hired
4ed889e4-f2ac-4c89-a404-5af4a5f024e0,Stephen,Hurst,430.239.1063,Healthcare,Flexible,Lake Miguel,5,2025-01-17,False,New
708f52de-6a89-4c77-b192-a3f0f5a953fd,Kevin,Kelly,6899690096,Restaurant,Morning,Hayesbury,5,2025-01-08,False,Contacted
cb0bbb37-fbce-4d0b-b736-168df7283e3c,Tracy,Russo,(227)904-7977x48504,Retail,Weekends,West Heatherton,5,2025-01-14,True,Interview
5d7339f3-1f45-4562-95c7-ce8f3152d0a2,Megan,Ibarra,834-322-6860x0803,Hospitality,Flexible,North Stephenton,1,2025-01-15,True,Contacted
552bdb47-9247-4f8a-8aa2-ace51f0b07b8,Gregg,Wilson,886.701.5118,Hospitality,Flexible,Port Morganview,4,2025-01-27,True,Contacted
ada42be3-1aa8-449f-9c2f-979f63a3d09d,Christine,Lowery,482-674-6618,Restaurant,Night,New John,2,2025-01-29,False,New
919ccc07-3263-4e90-853d-7321ce690500,Michael,Cordova,511-855-7911x75336,Restaurant,Evening,North Ambershire,3,2025-01-06,True,Hired
eb924ff0-6d85-4157-a6ef-62e2b8903378,Eric,Freeman,(566)200-6848x838,Warehouse,Morning,Murphyport,0,2025-01-09,False,New
e9b17e1c-f8d0-40ce-ab6a-d01bd4ff3c2c,Christopher,Ortiz,(791)450-5230,Warehouse,Weekends,New Douglas,5,2025-01-23,False,New
0d61d980-7483-411c-a007-f1ce730c7d35,Kelly,Hartman,466.309.1298x7812,Retail,Weekends,Mitchellfort,5,2025-01-05,False,Interview
15739264-bcd4-4adf-8957-ce2996491b92,Jeremy,Erickson,+1-497-823-5394x61923,Retail,Evening,Amandaton,4,2025-01-21,True,Contacted
cfaf805f-0b78-4fd6-9ba4-80bb92bc8dba,Gina,Walker,479.698.1251,Healthcare,Flexible,South Christopher,1,2025-01-21,True,Interview
190d8177-37e9-4afb-9391-628fa940c283,Jason,Porter,(878)516-5490x748,Healthcare,Flexible,Port Lisa,5,2025-01-12,False,Contacted
27a6b31b-2d89-4afd-b2d8-a05dbbd0147b,Garrett,Graves,288.829.5045x9126,Restaurant,Flexible,Thomasville,0,2025-01-04,False,Interview
dba9b1b7-9f91-4135-a25c-a5fd07d0e17a,Elizabeth,Gonzalez,366-351-9640x76537,Restaurant,Flexible,East Amandatown,2,2025-01-28,False,New
3cce30ac-cbab-4ec7-963a-dc2b4efaa63d,Andrew,Padilla,001-996-957-8061,Restaurant,Flexible,Lake Jacob,4,2025-01-22,False,Hired
0376b86d-f500-46d8-a0c6-728c10672a03,Kyle,Thomas,(811)255-4715x676,Hospitality,Weekends,Pottermouth,0,2025-01-22,False,Hired
28ee5000-0ae4-46a3-9705-79742599ee8d,Brandon,Hudson,(318)907-3667x0247,Retail,Morning,Port Johnshire,0,2025-01-09,True,Interview
58730531-fe90-4346-9aef-3fe1473eb376,Shawn,Cross,3337429608,Healthcare,Evening,Port Gabrielmouth,5,2025-01-21,True,Contacted
3488de54-6a2d-46de-9540-240a59237874,Allison,Ramos,906.392.4436,Healthcare,Flexible,Lake Eric,2,2024-12-31,False,Hired
a923eebc-c347-486e-beca-8054ef59136c,Nicole,Pacheco,963-203-0689x4230,Hospitality,Flexible,New Heather,1,2025-01-06,False,Hired
6ec52574-84ca-4ec5-b5d4-15ea8d0260d6,Amber,Mooney,(454)475-7215x8280,Warehouse,Flexible,Michellemouth,3,2025-01-18,True,Contacted
4a6a2319-ae58-45d3-8374-573357c9c398,Megan,Campbell,889.931.9980x31206,Restaurant,Morning,East Allisonfurt,1,2025-01-12,True,Interview
f31be3f6-fbdf-475c-8a2d-ac941518a8e9,Jonathan,Hall,+1-800-864-5521x3207,Warehouse,Evening,Maddoxland,3,2025-01-11,True,Contacted
c3221455-42c2-41b7-848c-4aa43b9f7fc8,Anthony,Travis,426.789.6403x76241,Retail,Morning,South Joseside,0,2025-01-16,True,Contacted
3a9cd40c-9de2-4602-9c40-72771db97015,James,Jackson,672.587.1066x7874,Warehouse,Evening,Crosbyton,5,2025-01-22,False,Interview
9090c4c7-f2d7-4310-8304-ebcd35305624,Thomas,Smith,+1-445-351-7813x6400,Restaurant,Flexible,South Paulshire,4,2025-01-15,True,Contacted
480b1b88-68ca-49c8-8dbb-d5b55e0de239,Bailey,Clark,985-701-4148x872,Warehouse,Night,Roystad,3,2025-01-27,True,New
1aef726a-b124-40cd-8a97-8b7b3518cd75,Jessica,Mayer,861-857-5335x7839,Hospitality,Flexible,Mariabury,5,2025-01-18,True,New
8d68872c-c3d0-435f-bd6b-5cd86b44aed5,Johnny,Camacho,(321)954-7715x11114,Warehouse,Weekends,New Zoe,2,2025-01-06,False,Contacted
97eb3c5a-164a-40c4-b837-9ab55225e42c,Rodney,Castro,001-469-903-2721x5213,Warehouse,Flexible,Mossville,5,2025-01-22,True,New
353eb0b7-1bdf-484f-83e1-e288b97f3743,Andrew,Peters,(823)917-7402,Restaurant,Flexible,Lindseymouth,0,2025-01-08,False,New
1ce40d21-f757-4822-bb02-4466c0422043,Teresa,Hunt,(721)362-9439x6757,Healthcare,Evening,New Matthew,4,2025-01-23,False,New
5664d85e-f1b6-4d6e-b8cc-e59b7bb02f59,Gregory,Blake,577.769.5970x857,Retail,Weekends,Austinport,4,2025-01-10,True,Hired
b26485c0-d33c-43cc-9233-16a95a5aefd8,Julian,Smith,001-760-240-2458x8060,Retail,Flexible,East Robin,1,2025-01-15,True,New
cd214725-7fb4-4167-81d4-76f21f510897,Shannon,Ramirez,501-358-9515,Healthcare,Morning,Thomashaven,0,2025-01-22,False,Contacted
52348e51-cdc8-4c4f-8329-c6a84bf26de5,Julie,Lewis,649-988-3592,Restaurant,Flexible,Baileyfurt,1,2025-01-19,True,Hired
4afcbdf0-e26e-4b6b-985d-0385f260c436,Veronica,Murillo,606-598-8440x9943,Retail,Evening,New Jadehaven,2,2025-01-04,False,Contacted
774158c5-129a-4854-98fd-a5fe64253045,Jacqueline,Livingston,(229)342-4952,Healthcare,Night,Alexanderberg,3,2025-01-12,False,Interview
e6847bbc-2894-46ed-8791-c40e61298d18,Allison,Williams,694-369-0848x844,Retail,Morning,Port Robin,4,2025-01-16,False,Contacted
27857968-f436-4659-9e20-d49176b5d453,Ricardo,Foster,356-655-9578,Hospitality,Flexible,Nicholasmouth,2,2025-01-13,False,Interview
f848c302-5966-4c8b-a745-b4892a23ce23,John,Torres,+1-211-305-9249x194,Warehouse,Evening,Tanyaside,4,2025-01-05,False,Contacted
f49918c3-0ccb-49d8-8a82-b942d6c5f813,Michael,Barnes,936-735-8815x033,Restaurant,Weekends,Melindatown,1,2025-01-10,False,Hired
35d65106-f052-4def-82f0-2f8bcda76c2d,Russell,Miller,+1-776-883-6809x5231,Warehouse,Flexible,New Jamesview,4,2025-01-16,True,Hired
59870579-8041-4a29-a7e5-ce3f30383726,Andrew,Foley,7233911486,Restaurant,Morning,South Susan,5,2025-01-06,False,Hired
b49ae06e-22a0-41dd-b0d8-6c248298d9bd,Arthur,Perry,(377)886-7695x920,Hospitality,Flexible,Schaeferberg,0,2025-01-02,True,Interview
11c06d4e-f06a-4c11-be43-c2e0deb80de9,Jason,Macias,7686486347,Retail,Evening,Jacquelineland,3,2025-01-02,True,Hired
371d35a0-3628-4b56-a184-a94a3a3c6dbf,Leslie,Howard,(838)431-5907,Restaurant,Weekends,Lake Anthony,4,2025-01-12,True,Interview
5f66b3b1-29c7-4a6d-bea8-fc3b160c6f8c,Olivia,Olson,414.919.9827,Warehouse,Evening,Lake Eric,3,2025-01-20,True,New
1ec101bf-83ab-4f08-a766-7f0c2b484ef1,Gary,Levy,449-359-9972,Warehouse,Morning,New Aaron,0,2025-01-24,False,New
ad73604b-508a-4d72-a5b2-d791d5750656,Richard,Marshall,+1-430-386-4870x781,Retail,Morning,Christineland,5,2025-01-09,False,Hired
c153054d-3e65-46cb-9f6a-833c3df61932,Bob,Frederick,594-741-2601x76622,Hospitality,Night,West Karenchester,4,2025-01-06,False,New
bd75cfa0-8d21-4582-ac9e-eab41986ab04,Deborah,Clark,(834)742-4254x732,Healthcare,Night,Port Ericfurt,1,2025-01-15,True,Hired
ba725e15-bfd8-497b-bd3a-bd60c6b49c4e,Nicholas,Cantrell,629-688-3399,Hospitality,Evening,Davischester,2,2025-01-11,False,New
4168ee9d-56a8-4887-9270-ba195bb7a223,David,Roberts,(441)968-2298,Retail,Night,Vanessachester,4,2025-01-09,False,New
a7ee6f2c-74ef-4a8d-8689-87a210c268e9,Patricia,Garcia,(940)257-4939,Healthcare,Morning,South Samuel,1,2025-01-18,False,Hired
94c480ed-7adc-409e-93c1-596e830d05bc,Dakota,Hunt,(627)281-6654x4184,Healthcare,Evening,East Marcchester,0,2025-01-01,True,Contacted
b3def7d7-99fc-463c-a586-d02214058622,Sandra,Rodriguez,(898)570-9592x427,Warehouse,Morning,South Jonathanhaven,4,2025-01-03,True,Interview
0f261c00-566f-4150-88bb-505bbc5d0c41,John,Spears,7236547121,Healthcare,Night,Sarahbury,1,2025-01-02,False,New
57f556b7-3533-4bcf-8e15-9488a2f58427,James,Nelson,(286)282-9981x924,Healthcare,Evening,Moraleshaven,0,2025-01-08,True,New
05fa4710-e732-4399-abf1-00f9cb958be7,Sheila,Sanchez,(596)665-7431x94627,Warehouse,Evening,East Amandafort,0,2025-01-13,True,Contacted
b61c20e9-aee0-4a80-81c3-8e37be8dd4f6,Lisa,Dickerson,510-498-0111x015,Retail,Evening,Mannmouth,5,2025-01-26,False,Hired
6d6a441a-3b22-4a1b-ba0d-2cc307adb70c,Lisa,Jordan,001-847-459-5748x7289,Hospitality,Weekends,Matthewport,4,2025-01-10,True,Hired
b5b33f28-6fbb-4d94-bfdb-61a4df6c4875,Elizabeth,Pope,3406568769,Healthcare,Evening,Port Amyview,4,2025-01-13,False,New
7dd54c19-d6e4-4c82-a6a5-db6af2b12e4a,Raymond,Crawford,001-483-368-3197,Warehouse,Morning,Jenniferhaven,5,2025-01-06,False,Hired
422f0b38-5ee7-4e4b-957b-b2fe35e1ee90,Christine,Rogers,001-314-299-6659x153,Healthcare,Night,North Abigail,3,2025-01-13,False,Interview
fd357d8c-9ae4-48c0-b123-1b68e8618aa7,David,Jones,001-930-307-0623x02706,Hospitality,Morning,North Vincent,3,2025-01-03,False,Hired
6c792294-a0b4-425c-9945-45cc8241793c,Ashley,Lin,598-855-1828x8266,Hospitality,Evening,North Samanthaport,3,2025-01-15,True,Contacted
100b3b04-7df1-4af6-95ee-f2f323a01905,Thomas,Stewart,001-366-522-3820x8603,Healthcare,Morning,Andrewsfort,2,2024-12-31,True,Interview
f516baab-cf57-4a2f-bae6-5c75ac76ddf0,Tamara,Farmer,861.577.3308,Restaurant,Night,Lake Kimberlymouth,5,2025-01-11,True,Interview
f2c9afc1-b8f0-4a35-8713-b7d538101dae,Joshua,Taylor,+1-695-729-9148x3115,Hospitality,Morning,Victorfort,4,2025-01-27,False,New
5bf76961-0e8e-4cb2-b9fe-9b25011e0821,Paul,Keller,200-492-2516x67940,Retail,Flexible,North Danielport,1,2025-01-20,False,Contacted
58e672ae-201c-4904-b24a-990421849814,Travis,Oliver,274.501.4737x31103,Warehouse,Flexible,South Alyssamouth,3,2024-12-31,True,Contacted
eec08c4c-8752-4214-8a6f-68a3bf62744b,Vincent,Mccoy,388-449-7894,Healthcare,Night,Watsonport,0,2025-01-21,True,Interview
df398245-adfb-458a-96a7-2d402d675e9c,Kimberly,Dalton,4098338780,Hospitality,Weekends,Port Kathleen,0,2025-01-26,True,Hired
fcba8c29-9e1a-40ca-bf00-a1d8a5d00a61,Benjamin,Mcdowell,(802)706-3700,Hospitality,Weekends,Stonehaven,2,2025-01-05,True,Hired
bc419042-ad33-4403-82ad-893be4a3dd88,Michael,Richmond,+1-380-845-0738x6192,Warehouse,Weekends,Dominguezfort,0,2025-01-14,True,Interview
6c779b91-5d89-484f-a7c9-c1cdd78c132c,Janet,Peterson,721-570-9696x5463,Healthcare,Morning,Christopherland,1,2025-01-03,False,Hired
f87d9253-e5bf-48d9-a60d-a82843b3fcaa,Richard,Phillips,001-666-686-8580x2955,Restaurant,Morning,Jenniferton,0,2025-01-25,False,Interview
f2ba3274-d860-41f0-96e6-d3f629e19f67,Jeremy,Jackson,(334)912-0822,Hospitality,Flexible,Roweview,1,2025-01-02,False,New
07e8bf38-f21e-431b-82aa-4938c037e305,Katherine,Cole,+1-744-616-6115,Restaurant,Flexible,South Dianatown,0,2025-01-13,False,Contacted
8b9de236-3987-42d1-9bbe-10ff850b9872,Nicholas,Bell,001-729-260-2875x51337,Warehouse,Night,Port Williamton,3,2025-01-23,False,Hired
4ba24c77-9b87-4bc7-8a1f-1fd7ee13967d,Julie,Pierce,294-816-7984x6940,Warehouse,Evening,Lake Sheena,3,2025-01-04,False,Contacted
9b1bbaf3-45f5-48b4-9d05-d6cd1d996ad2,Michelle,Poole,+1-968-714-1082x89236,Warehouse,Night,Thomasberg,1,2025-01-16,True,Contacted
44e4aceb-212f-420b-a2f6-8d32bf6538f6,Wendy,Nichols,805.478.1664x9187,Warehouse,Night,Yangfurt,5,2025-01-26,False,Contacted
3d8a00d6-37af-4570-b336-3103ca34f728,Mark,Buck,001-527-820-2670x9084,Healthcare,Morning,East Brianport,4,2024-12-31,True,Hired
f1badc2a-e29b-4f95-9b4b-fb3668db4121,Cynthia,Estrada,5693134554,Warehouse,Flexible,East Carlos,1,2025-01-02,False,New
28f86ac6-969a-49c7-a06d-cf7cc29f2305,Rebecca,Davis,665-201-0843x5263,Warehouse,Flexible,East Johnshire,1,2025-01-20,True,Contacted
37ae15f5-e0bf-47dd-bbd2-3aac6e5b2928,Mary,Anderson,213-768-2728,Retail,Weekends,New Becky,2,2025-01-04,False,Interview
ddddf12f-e7e2-4dfb-9b8d-0fd368792fb4,Brittany,Stephens,001-242-600-1561x0445,Restaurant,Night,East Brandiport,1,2025-01-20,False,Interview
2def3952-1c04-4600-837c-534fbcb55174,Kenneth,Valenzuela,+1-240-426-9128,Restaurant,Weekends,Danieltown,2,2025-01-09,True,Interview
50c858c7-a78c-4ab6-96f0-6ddd3a013729,Manuel,Turner,311.520.6221,Restaurant,Evening,North Davidburgh,5,2025-01-28,True,Interview
575d5ec0-3437-4e83-a4b8-a50ce54b3d7b,Stephen,Tanner,396-915-1827,Retail,Evening,East Teresabury,3,2025-01-19,True,Contacted
317ff28f-025b-486c-8984-1d0717960ed5,Matthew,Moore,001-317-225-4550x4345,Restaurant,Weekends,Port Jenniferton,0,2025-01-16,True,New
5517b53e-4086-46bb-a104-08236faf0d04,Chad,Mckee,001-915-768-1897x72641,Restaurant,Flexible,Blackmouth,4,2025-01-29,True,Hired
28c8f025-4246-4fc8-8d13-54b744386ccf,Kayla,Fleming,589.604.9481,Retail,Morning,Baileystad,3,2025-01-24,False,Contacted
62f67edf-cf19-4e4d-a330-4245f3e23f47,Dominic,Payne,432.306.7876x600,Restaurant,Morning,Lake Dana,1,2025-01-18,True,Contacted
ad8af76e-411e-460a-b71a-fa9fc748bf51,Lisa,Simpson,(585)983-7346,Healthcare,Flexible,West Sharonfurt,3,2025-01-27,False,Interview
a9f7ec3f-59d4-4304-8378-ee3c1534410a,Barbara,Pham,001-766-814-1422,Hospitality,Evening,South Wesley,4,2025-01-08,False,Hired
8dd82f53-90f4-49e3-9a80-127e69486744,Courtney,Martinez,+1-977-597-7393,Retail,Morning,Port Kathybury,5,2025-01-10,True,Interview
07e4e30b-32be-4cec-95a7-b3fb53061943,Jessica,Johnson,+1-465-578-4436x92796,Retail,Evening,Lake Danielle,5,2025-01-25,False,Interview
4185e330-fac7-46a7-bf10-1e212681e302,Eileen,Lam,+1-659-509-0534x1736,Restaurant,Night,Lake Ronaldfort,3,2025-01-20,False,Contacted
e0802d63-fba8-4096-850d-73687f60ad09,Paula,Garcia,527-513-3515x89034,Healthcare,Flexible,Cruzmouth,1,2025-01-19,True,Interview
d0d39305-6a34-40a0-92dd-4ba92aa98287,Christina,Moore,(360)551-1906,Warehouse,Morning,West Michael,0,2025-01-27,True,New
8885b95e-4129-4ee5-84e3-22b90039e357,Shannon,Johnson,448-516-8717x70597,Hospitality,Weekends,Dixonland,5,2025-01-10,True,Contacted
0f8c4804-04a0-41fc-acab-1d2374feccae,Gina,Moore,+1-556-710-9742x18412,Healthcare,Weekends,West Jonathanland,0,2025-01-10,False,New
944e8138-4631-4c1c-9461-c4829d09b31d,Dawn,Miller,+1-419-577-6300x695,Hospitality,Flexible,South Kenneth,5,2025-01-13,True,Contacted
c87c91e2-29bc-4e47-a99d-385a6ecd391c,Erika,Richardson,915-527-6417,Warehouse,Weekends,Russellburgh,1,2025-01-26,False,Hired
fd1c0656-3330-4a1a-a033-726bdf5bed6c,Tiffany,Harmon,001-787-508-1304x840,Retail,Night,Port Zachary,0,2025-01-04,True,Interview
613bb537-a47b-40dc-944d-32858a7dc0fb,Aaron,Daugherty,(673)707-5469x7184,Warehouse,Flexible,West Evelyn,1,2025-01-05,False,Interview
